query_type	relation	query	correct output	system output	ssg output	Exact Match	Soft Match
min/max	P54	Which team has the most players?	['Thailand', 'Iraq']	[[0], [2]]	[[[0, 'AFC Asian Cup team Thailand']], [[1, 'AFC Asian Cup team Hong Kong']], [[2, 'AFC Asian Cup team Iraq']], [[3, 'AFC Asian Cup team India']], [[0, 'AFC Asian Cup team Thailand'], [1, 'AFC Asian Cup team Hong Kong']], [[0, 'AFC Asian Cup team Thailand'], [3, 'AFC Asian Cup team India']], [[1, 'AFC Asian Cup team Hong Kong'], [3, 'AFC Asian Cup team India']], [[2, 'AFC Asian Cup team Iraq'], [0, 'AFC Asian Cup team Thailand']], [[2, 'AFC Asian Cup team Iraq'], [1, 'AFC Asian Cup team Hong Kong']], [[2, 'AFC Asian Cup team Iraq'], [3, 'AFC Asian Cup team India']]]	1	1
set	P54	List teams 2013 FIA World Endurance Championship plays for	[]	None	[[]]	0	0
bool	P54	Does AFC Asian Cup play for China?	['FALSE']	[[7]]	[[[4, 'AFC Asian Cup team North Korea']], [[7, 'AFC Asian Cup team Qatar']], [[8, 'AFC Asian Cup team Israel']]]	1	1
bool	P54	Is 2013 FIA World Endurance Championship part of China?	[]	None	[[]]	0	0
set	P54	List teams AFC Asian Cup plays for	['Israel', 'Qatar', 'North Korea']	[[4], [7], [8]]	[[[4, 'AFC Asian Cup team North Korea'], [7, 'AFC Asian Cup team Qatar']], [[4, 'AFC Asian Cup team North Korea'], [8, 'AFC Asian Cup team Israel']], [[7, 'AFC Asian Cup team Qatar'], [8, 'AFC Asian Cup team Israel']]]	0	1
bool	P54	Is 1998 Tour de Langkawi part of North Korea?	['FALSE']	[[2]]	[[[2, '1998 Tour de Langkawi team Indonesia']], [[3, '1998 Tour de Langkawi team China']]]	1	1
bool	P54	Is 1998 Tour de Langkawi part of Mróz?	['TRUE']	[[9]]	[[[2, '1998 Tour de Langkawi team Indonesia']], [[3, '1998 Tour de Langkawi team China']], [[9, '1998 Tour de Langkawi team Mróz']]]	1	1
count	P54	How many people play for OAK Racing?	[1]	None	[[]]	0	0
min/max	P118	What league has the most participants?	[]	None	[[]]	0	0
min/max	P54	Who has played for the least number of different teams?	['2013 FIA World Endurance Championship']	[[1, 6], [2], [3], [4], [8], [9]]	[[[4, 'AFC Asian Cup team North Korea']], [[8, 'AFC Asian Cup team Israel']]]	0	1
min/max	P54	What is the team with the most players?	['Saudi Arabia']	None	[[]]	0	0
min/max	P54	Who has played for the most teams?	[]	None	[[]]	0	0
bool	P54	Does 1998 Tour de Langkawi play for Rebellion Racing?	['FALSE']	None	[[[2, '1998 Tour de Langkawi team Malaysia']], [[7, '1998 Tour de Langkawi team Malaysia']]]	0	0
count	P118	How many leagues has Barcelona played for?	[1]	None	[[]]	0	0
set	P54	Who is a member of Indonesia?	['1998 Tour de Langkawi']	None	[[]]	0	0
set	P54	1998 Tour de Langkawi is a member of which teams?	[]	[]	[[[2, '1998 Tour de Langkawi team Mróz']]]	1	1
bool	P54	Does 1998 Tour de Langkawi play for Post Swiss Team?	['TRUE']	[[7]]	[[[2, '1998 Tour de Langkawi team Mróz']], [[6, '1998 Tour de Kingdom of Denmark']], [[7, '1998 Tour de Langkawi team Post Swiss Team']]]	1	1
count	P54	How many people play for Mróz?	[1]	None	[[]]	0	0
bool	P118	Is FC Spartak Varna a participant of League?	[]	None	[[]]	0	0
count	P54	How many people play for Post Swiss Team?	[1]	[[7]]	[[[7, '1998 Tour de Langkawi team Post Swiss Team']]]	1	1
count	P54	How many people play for Philippines?	[]	None	[[]]	0	0
min/max	P54	Who has played for the fewest teams?	['AFC Asian Cup']	[[2], [3], [4, 9], [5], [6, 8]]	[[[0, 'UEFA Euro 2016 team Portugal']], [[1, 'AFC Asian Cup team Uzbekistan']], [[5, 'AFC Asian Cup team South Korea']], [[7, 'UEFA Euro 2016 team Czech Republic']], [[0, 'UEFA Euro 2016 team Portugal'], [1, 'AFC Asian Cup team Uzbekistan']], [[0, 'UEFA Euro 2016 team Portugal'], [7, 'UEFA Euro 2016 team Czech Republic']], [[5, 'AFC Asian Cup team South Korea'], [1, 'AFC Asian Cup team Uzbekistan']]]	0	1
count	P54	How many people play for Uzbekistan?	[1]	[[1]]	[[[1, 'AFC Asian Cup team Uzbekistan']]]	1	1
min/max	P54	Who has played for the most teams?	['AFC Asian Cup', '1998 Tour de Langkawi']	[[1], [2], [4, 9], [5], [7]]	[[[0, 'UEFA Euro 2016 team Portugal']], [[1, 'AFC Asian Cup team Uzbekistan']], [[5, 'AFC Asian Cup team South Korea']], [[7, 'UEFA Euro 2016 team Czech Republic']], [[0, 'UEFA Euro 2016 team Portugal'], [1, 'AFC Asian Cup team Uzbekistan']], [[0, 'UEFA Euro 2016 team Portugal'], [7, 'UEFA Euro 2016 team Czech Republic']]]	0	1
set	P54	List teams AFC Asian Cup plays for	['Uzbekistan', 'South Korea']	[[1], [5]]	[[[1, 'AFC Asian Cup team Uzbekistan'], [0, 'UEFA Euro 2016 team Portugal']], [[1, 'AFC Asian Cup team Uzbekistan'], [5, 'AFC Asian Cup team South Korea']], [[1, 'AFC Asian Cup team Uzbekistan'], [7, 'UEFA Euro 2016 team Czech Republic']], [[5, 'AFC Asian Cup team South Korea'], [7, 'UEFA Euro 2016 team Czech Republic']]]	0	1
set	P54	1998 Tour de Langkawi is a member of which teams?	['Mróz']	[[2]]	[[[0, 'UEFA Euro 2016 team Portugal']], [[1, 'AFC Asian Cup team Uzbekistan']], [[2, '1998 Tour de Langkawi team Mróz']], [[3, '1998 Tour de Langkawi team China']], [[4, '1998 Tour de Langkawi team Philippines']], [[6, '1998 Tour de Langkawi team South Africa']], [[8, '1998 Tour de Langkawi team South Africa']], [[9, '1998 Tour de Langkawi team Philippines']]]	1	1
bool	P54	Does AFC Asian Cup play for South Korea?	[]	[]	[[[1, 'AFC Asian Cup team Uzbekistan']]]	1	1
set	P54	Who plays for South Africa?	['1998 Tour de Langkawi']	None	[[]]	0	0
set	P54	UEFA Euro 2016 is a member of which teams?	['Czech Republic']	[[7]]	[[[0, 'UEFA Euro 2016 team Portugal']], [[1, 'AFC Asian Cup team Uzbekistan']], [[5, 'AFC Asian Cup team South Korea']], [[7, 'UEFA Euro 2016 team Czech Republic']]]	1	1
set	P54	List teams AFC Asian Cup plays for	['Uzbekistan']	[[1]]	[[[1, 'AFC Asian Cup team Uzbekistan'], [0, 'UEFA Euro 2016 team Portugal']]]	0	1
set	P54	Who plays for Indonesia?	['1998 Tour de Langkawi']	None	[[]]	0	0
count	P118	How many leagues has Barcelona played for?	[1]	None	[[[4, 'Barcelona league World League']]]	0	0
bool	P54	Does 1998 Tour de Langkawi play for Mirela Țugurlan?	['FALSE']	[[0], [1], [2, 3], [5], [7], [8]]	[[[0, '1998 Tour de Langkawi team Malaysia']], [[1, '1998 Tour de Langkawi team Philippines']], [[2, '1998 Tour de Langkawi team China']], [[3, '1998 Tour de Langkawi team China']], [[5, '1998 Tour de Langkawi team Australia']], [[7, '1998 Tour de Langkawi team South Africa']], [[8, '1998 Tour de Langkawi team Indonesia']], [[9, '1997 World Artistic Gymnastics Championships team Mirela Țugurlan']], [[0, '1998 Tour de Langkawi team Malaysia'], [5, '1998 Tour de Langkawi team Australia']], [[8, '1998 Tour de Langkawi team Indonesia'], [5, '1998 Tour de Langkawi team Australia']]]	0	1
count	P54	How many teams has 1998 Tour de Langkawi played for?	[]	[]	[[[0, '1998 Tour de Langkawi team Malaysia']], [[1, '1998 Tour de Langkawi team Philippines']], [[2, '1998 Tour de Langkawi team China']], [[3, '1998 Tour de Langkawi team China']]]	1	1
set	P54	Red Bull RB3 is a member of which teams?	[]	None	[[], [[4, 'Red Bull RB3 team Red Bull Racing']]]	0	0
set	P118	Who participates in American Association?	['Indiana']	[[0]]	[[[0, 'Indiana league American Association']]]	1	1
min/max	P118	Who has participated in the most number of leagues?	['Indiana', 'Sabah']	None	[[]]	0	0
min/max	P54	Who has played for the least teams?	['AFC Asian Cup']	[[0], [2], [5]]	[[[1, 'AFC Asian Cup team Uzbekistan']], [[3, 'UEFA Euro 2016 team Portugal']], [[7, 'FIFA World Cup team Bulgaria']], [[9, 'AFC Asian Cup team South Korea']], [[1, 'AFC Asian Cup team Uzbekistan'], [5, 'AFC Asian Cup team Thailand']], [[1, 'AFC Asian Cup team Uzbekistan'], [7, 'FIFA World Cup team Bulgaria']], [[3, 'UEFA Euro 2016 team Portugal'], [1, 'AFC Asian Cup team Uzbekistan']], [[3, 'UEFA Euro 2016 team Portugal'], [7, 'FIFA World Cup team Bulgaria']], [[9, 'AFC Asian Cup team South Korea'], [1, 'AFC Asian Cup team Uzbekistan']]]	0	1
bool	P54	Is UEFA Euro 2016 part of Portugal?	['TRUE']	[[3]]	[[[3, 'UEFA Euro 2016 team Portugal']], [[7, 'FIFA World Cup team Bulgaria']]]	1	1
bool	P54	Does FIFA World Cup play for Malaysia?	['FALSE']	[[7]]	[[[1, 'AFC Asian Cup team Uzbekistan']], [[3, 'UEFA Euro 2016 team Portugal']], [[5, 'AFC Asian Cup team Thailand']], [[6, 'AFC Asian Cup team Kuwait']], [[7, 'FIFA World Cup team Bulgaria']], [[9, 'AFC Asian Cup team South Korea']], [[3, 'UEFA Euro 2016 team Portugal'], [7, 'FIFA World Cup team Bulgaria']]]	1	1
count	P118	How many people play in Interior Division?	[1]	[[4]]	[[[4, 'Sabah division Interior Division']]]	1	1
bool	P54	Is 1998 Tour de Langkawi part of Portugal?	['FALSE']	[[0], [2]]	[[[0, '1998 Tour de Langkawi team Malaysia']], [[2, '1998 Tour de Langkawi team Mróz']]]	1	1
bool	P54	Is 1998 Tour de Langkawi a member of Malaysia?	['TRUE']	[[0]]	[[[0, '1998 Tour de Langkawi team Malaysia']], [[2, '1998 Tour de Langkawi team Mróz']]]	1	1
count	P54	How many people play for Portugal?	[]	None	[[]]	0	0
set	P54	AFC Asian Cup is a member of which teams?	['Kuwait', 'South Korea', 'Thailand']	[[5], [6], [9]]	[[[1, 'AFC Asian Cup team Uzbekistan']], [[5, 'AFC Asian Cup team Thailand']], [[6, 'AFC Asian Cup team Kuwait']], [[7, 'FIFA World Cup team Bulgaria']], [[9, 'AFC Asian Cup team South Korea']]]	1	1
count	P54	How many people play for Uzbekistan?	[]	None	[[]]	0	0
count	P54	How many teams has AFC Asian Cup played for?	[1]	[[3]]	[[[1, 'AFC Asian Cup team Hong Kong']], [[3, 'AFC Asian Cup team Australia']], [[9, 'AFC Asian Cup team Israel']], [[9, 'AFC Asian Cup team Israel'], [3, 'AFC Asian Cup team Australia']]]	1	1
count	P54	How many people play for Israel?	[]	None	[[]]	0	0
bool	P54	Does 1998 Tour de Langkawi play for Malaysia?	['TRUE']	None	[[[0, '1998 Tour de Langkawi team Malaysia']], [[2, '1998 Tour de Langkawi team South Africa']], [[6, '1998 Tour de Langkawi team China']], [[7, '1998 Tour de Langkawi team Malaysia']], [[8, '1998 Tour de Langkawi team Mróz']]]	0	0
set	P54	Who is a member of China?	['1998 Tour de Langkawi']	None	[[]]	0	0
min/max	P54	Who has played for the least number of different teams?	['Ýokary Liga']	None	[[[3, 'AFC Asian Cup team Australia']], [[9, 'AFC Asian Cup team Israel']], [[9, 'AFC Asian Cup team Israel'], [3, 'AFC Asian Cup team Australia']]]	0	0
bool	P54	Is AFC Asian Cup a member of Mróz?	['FALSE']	[[9]]	[[[1, 'AFC Asian Cup team Hong Kong']], [[3, 'AFC Asian Cup team Australia']], [[9, 'AFC Asian Cup team Israel']]]	1	1
count	P54	How many people play for Hong Kong?	[1]	[[1]]	[[[1, 'AFC Asian Cup team Hong Kong']]]	1	1
count	P54	How many people play for Barcelona?	[1]	[[3]]	[[[3, 'Juventus F.C. team Barcelona']], [[9, 'Barcelona league World League']], [[9, 'Barcelona league World League'], [0, 'Red Bull RB3 team Red Bull Racing']], [[9, 'Barcelona league World League'], [3, 'Juventus F.C. team Barcelona']], [[9, 'Barcelona league World League'], [7, 'Red Bull RB3 team Red Bull Racing']]]	1	1
count	P54	How many teams has 1998 Tour de Langkawi played for?	[]	[]	[[[1, '1998 Tour de Kingdom of Denmark']]]	1	1
count	P118	How many participants are there in League?	[1]	None	[[]]	0	0
bool	P118	Does Sabah play in League?	['FALSE']	None	[[]]	0	0
set	P54	Who is a member of Barcelona?	[]	None	[[]]	0	0
set	P54	1998 Tour de Langkawi is a member of which teams?	['Kazakhstan']	[[3]]	[[[2, '1998 Tour de Langkawi team Malaysia']], [[3, '1998 Tour de Langkawi team Kazakhstan']], [[5, '1998 Tour de Langkawi team China']]]	1	1
min/max	P54	Who has played for the highest number of teams?	['1998 Tour de Langkawi']	[[0], [1], [3], [7]]	[[[0, 'Juventus F.C. team Real Madrid']], [[1, 'AFC Asian Cup team Hong Kong']], [[1, 'AFC Asian Cup team Hong Kong'], [0, 'Juventus F.C. team Real Madrid']]]	0	1
set	P118	Who plays in League?	[]	None	[[]]	0	0
set	P54	Who plays for Mróz?	[]	None	[[]]	0	0
set	P54	Who plays for Mróz?	['1998 Tour de Langkawi']	None	[[]]	0	0
min/max	P54	What is the smallest team?	['Kingdom of Denmark', 'Malaysia', 'Mróz']	None	[[]]	0	0
bool	P118	Is the league that Barcelona plays for League?	['FALSE']	None	[[[1, 'UEFA Euro 2016 team Czech Republic']]]	0	0
bool	P118	Does FC Spartak Varna participate in Tercera División?	['FALSE']	None	[[[0, 'FC Spartak Varna league League']], [[9, 'FC Spartak Varna league League']]]	0	0
count	P54	How many teams has UEFA Euro 2016 played for?	[1]	[[1]]	[[[1, 'UEFA Euro 2016 team Czech Republic']]]	1	1
set	P54	Cypriot First Division is a member of which teams?	['Alki Oroklini']	[[8]]	[[[1, 'UEFA Euro 2016 team Czech Republic']], [[8, 'Cypriot First Division team Alki Oroklini']]]	1	1
set	P118	What league is FC Spartak Varna participant of?	['League']	[[4]]	[[[4, 'FC Spartak Varna league League']]]	1	1
count	P54	How many teams has 1998 Tour de Langkawi played for?	[4]	[[0, 9], [1], [5, 7], [8]]	[[[0, '1998 Tour de Langkawi team Malaysia']], [[1, '1998 Tour de Langkawi team Philippines']], [[5, '1998 Tour de Langkawi team Australia']], [[6, '1998 Tour de Langkawi team Mróz']], [[7, '1998 Tour de Langkawi team Australia']], [[8, '1998 Tour de Langkawi team Indonesia']], [[9, '1998 Tour de Langkawi team Malaysia']]]	0	1
set	P54	1998 Tour de Langkawi is a member of which teams?	[]	[]	[[[0, '1998 Tour de Langkawi team Malaysia']], [[1, '1998 Tour de Langkawi team Philippines']]]	1	1
set	P54	FIFA World Cup is a member of which teams?	['Bulgaria']	[[9]]	[[[0, 'AFC Asian Cup team Australia']], [[2, '1998 Tour de Langkawi team Australia']], [[4, 'AFC Asian Cup team Uzbekistan']], [[6, 'AFC Asian Cup team India']], [[9, 'FIFA World Cup team Bulgaria']]]	1	1
bool	P54	Does AFC Asian Cup play for Malaysia?	[]	[]	[[[0, 'AFC Asian Cup team Australia']]]	1	1
count	P54	How many teams has 1998 Tour de Langkawi played for?	[4]	[[0, 2], [1], [5, 6], [9]]	[[[0, '1998 Tour de Kingdom of Denmark']], [[1, '1998 Tour de Langkawi team Philippines']], [[2, '1998 Tour de Kingdom of Denmark']], [[5, '1998 Tour de Langkawi team Malaysia']], [[6, '1998 Tour de Langkawi team Malaysia']], [[8, 'UEFA Euro 2016 team England']], [[9, '1998 Tour de Langkawi team South Africa']]]	0	1
min/max	P54	Who has played for the highest number of teams?	['1998 Tour de Langkawi']	[[0, 1], [2], [3], [7], [8]]	[[[0, 'Red Bull RB3 team Red Bull Racing']], [[1, 'Red Bull RB3 team Red Bull Racing']], [[4, 'AFC Asian Cup team Bahrain']], [[6, 'AFC Asian Cup team India']], [[7, 'FIFA World Cup team Uruguay']], [[8, 'AFC Asian Cup team Australia']], [[0, 'Red Bull RB3 team Red Bull Racing'], [1, 'Red Bull RB3 team Red Bull Racing']], [[4, 'AFC Asian Cup team Bahrain'], [5, 'AFC Asian Cup team Japan']], [[4, 'AFC Asian Cup team Bahrain'], [6, 'AFC Asian Cup team India']], [[4, 'AFC Asian Cup team Bahrain'], [8, 'AFC Asian Cup team Australia']], [[6, 'AFC Asian Cup team India'], [5, 'AFC Asian Cup team Japan']], [[6, 'AFC Asian Cup team India'], [8, 'AFC Asian Cup team Australia']], [[7, 'FIFA World Cup team Uruguay'], [0, 'Red Bull RB3 team Red Bull Racing']], [[7, 'FIFA World Cup team Uruguay'], [1, 'Red Bull RB3 team Red Bull Racing']], [[7, 'FIFA World Cup team Uruguay'], [6, 'AFC Asian Cup team India']], [[7, 'FIFA World Cup team Uruguay'], [8, 'AFC Asian Cup team Australia']], [[8, 'AFC Asian Cup team Australia'], [5, 'AFC Asian Cup team Japan']]]	0	1
set	P54	Who plays for Bahrain?	['AFC Asian Cup']	[[4]]	[[[4, 'AFC Asian Cup team Bahrain']], [[4, 'AFC Asian Cup team Bahrain'], [5, 'AFC Asian Cup team Japan']], [[4, 'AFC Asian Cup team Bahrain'], [6, 'AFC Asian Cup team India']], [[4, 'AFC Asian Cup team Bahrain'], [8, 'AFC Asian Cup team Australia']]]	1	1
count	P54	How many teams has AFC Asian Cup played for?	[2]	[[4], [8]]	[[[4, 'AFC Asian Cup team Bahrain']], [[5, 'AFC Asian Cup team Japan']], [[6, 'AFC Asian Cup team India']], [[8, 'AFC Asian Cup team Australia']], [[4, 'AFC Asian Cup team Bahrain'], [6, 'AFC Asian Cup team India']], [[4, 'AFC Asian Cup team Bahrain'], [8, 'AFC Asian Cup team Australia']], [[5, 'AFC Asian Cup team Japan'], [6, 'AFC Asian Cup team India']], [[5, 'AFC Asian Cup team Japan'], [8, 'AFC Asian Cup team Australia']], [[6, 'AFC Asian Cup team India'], [8, 'AFC Asian Cup team Australia']]]	1	1
bool	P54	Is AFC Asian Cup part of San Francisco 49ers?	['FALSE']	[[5]]	[[[2, 'Atlanta Falcons team San Francisco 49ers']], [[5, 'AFC Asian Cup team Israel']]]	1	1
bool	P54	Is 1998 Tour de Langkawi a member of San Francisco 49ers?	['FALSE']	[[0]]	[[], [[0, '1998 Tour de Langkawi team Australia']], [[1, '1998 Tour de Langkawi team China']], [[3, 'Red Bull RB3 team Red Bull Racing']], [[0, '1998 Tour de Langkawi team Australia'], [3, 'Red Bull RB3 team Red Bull Racing']], [[1, '1998 Tour de Langkawi team China'], [3, 'Red Bull RB3 team Red Bull Racing']]]	1	1
min/max	P54	Who has played for the most teams?	['AFC Asian Cup']	[[8]]	[[[2, 'Atlanta Falcons team San Francisco 49ers']], [[3, 'Red Bull RB3 team Red Bull Racing']], [[5, 'AFC Asian Cup team Israel']], [[5, 'AFC Asian Cup team Israel'], [8, 'AFC Asian Cup team Japan']]]	0	1
bool	P54	Is AFC Asian Cup a member of Australia?	['FALSE']	[[8]]	[[[5, 'AFC Asian Cup team Israel']], [[8, 'AFC Asian Cup team Japan']]]	1	1
bool	P54	Is 1998 Tour de Langkawi a member of China?	[]	[]	[[[0, '1998 Tour de Langkawi team Australia']], [[1, '1998 Tour de Langkawi team China']]]	1	1
set	P118	Who participates in League?	['FC Spartak Varna']	None	[[]]	0	0
bool	P54	Is 1998 Tour de Langkawi a member of Japan?	['FALSE']	[[1]]	[[[0, '1998 Tour de Langkawi team Australia']], [[1, '1998 Tour de Langkawi team China']], [[8, 'AFC Asian Cup team Japan']], [[8, 'AFC Asian Cup team Japan'], [0, '1998 Tour de Langkawi team Australia']]]	1	1
min/max	P54	Who has played for the least teams?	['1998 Tour de Langkawi', 'Red Bull RB3']	[[1], [3], [5], [9]]	[[[2, 'Atlanta Falcons team San Francisco 49ers']], [[5, 'AFC Asian Cup team Israel']], [[9, 'AFC Asian Cup team South Korea']], [[5, 'AFC Asian Cup team Israel'], [3, 'Red Bull RB3 team Red Bull Racing']], [[5, 'AFC Asian Cup team Israel'], [8, 'AFC Asian Cup team Japan']]]	0	1
bool	P54	Is AFC Asian Cup a member of Japan?	['TRUE']	[[8]]	[[[5, 'AFC Asian Cup team Israel']], [[8, 'AFC Asian Cup team Japan']], [[9, 'AFC Asian Cup team South Korea']], [[5, 'AFC Asian Cup team Israel'], [8, 'AFC Asian Cup team Japan']]]	1	1
bool	P54	Is 1998 Tour de Langkawi a member of China?	['TRUE']	[[1]]	[[[0, '1998 Tour de Langkawi team Australia']], [[1, '1998 Tour de Langkawi team China']]]	1	1
set	P54	Who is a member of United States?	[]	None	[[]]	0	0
min/max	P54	Who has played for the fewest teams?	['Ýokary Liga']	[[1], [2], [3], [4]]	[[[2, 'FIFA World Cup team Belgium']], [[3, 'FIFA World Cup team Portugal']], [[4, 'FIFA World Cup team Sweden']], [[2, 'FIFA World Cup team Belgium'], [3, 'FIFA World Cup team Portugal']], [[2, 'FIFA World Cup team Belgium'], [4, 'FIFA World Cup team Sweden']], [[3, 'FIFA World Cup team Portugal'], [4, 'FIFA World Cup team Sweden']]]	0	1
set	P54	List teams FIFA World Cup plays for	['Argentina', 'Portugal', 'Brazil', 'Belgium']	[[2], [3], [6], [7, 8]]	[[[6, 'FIFA World Cup team Brazil']], [[2, 'FIFA World Cup team Belgium'], [3, 'FIFA World Cup team Portugal']], [[2, 'FIFA World Cup team Belgium'], [4, 'FIFA World Cup team Sweden']], [[2, 'FIFA World Cup team Belgium'], [6, 'FIFA World Cup team Brazil']], [[2, 'FIFA World Cup team Belgium'], [7, 'FIFA World Cup team Argentina']], [[2, 'FIFA World Cup team Belgium'], [8, 'FIFA World Cup team Argentina']], [[3, 'FIFA World Cup team Portugal'], [4, 'FIFA World Cup team Sweden']], [[3, 'FIFA World Cup team Portugal'], [6, 'FIFA World Cup team Brazil']], [[3, 'FIFA World Cup team Portugal'], [7, 'FIFA World Cup team Argentina']], [[3, 'FIFA World Cup team Portugal'], [8, 'FIFA World Cup team Argentina']], [[4, 'FIFA World Cup team Sweden'], [6, 'FIFA World Cup team Brazil']], [[4, 'FIFA World Cup team Sweden'], [7, 'FIFA World Cup team Argentina']], [[4, 'FIFA World Cup team Sweden'], [8, 'FIFA World Cup team Argentina']], [[6, 'FIFA World Cup team Brazil'], [7, 'FIFA World Cup team Argentina']], [[6, 'FIFA World Cup team Brazil'], [8, 'FIFA World Cup team Argentina']], [[7, 'FIFA World Cup team Argentina'], [8, 'FIFA World Cup team Argentina']]]	0	1
set	P54	List teams FIFA World Cup plays for	['Portugal', 'Brazil', 'Belgium']	[[2], [3], [6]]	[[[6, 'FIFA World Cup team Brazil']], [[2, 'FIFA World Cup team Belgium'], [3, 'FIFA World Cup team Portugal']], [[2, 'FIFA World Cup team Belgium'], [4, 'FIFA World Cup team Sweden']], [[2, 'FIFA World Cup team Belgium'], [6, 'FIFA World Cup team Brazil']], [[2, 'FIFA World Cup team Belgium'], [7, 'FIFA World Cup team Argentina']], [[3, 'FIFA World Cup team Portugal'], [4, 'FIFA World Cup team Sweden']], [[3, 'FIFA World Cup team Portugal'], [6, 'FIFA World Cup team Brazil']], [[3, 'FIFA World Cup team Portugal'], [7, 'FIFA World Cup team Argentina']], [[4, 'FIFA World Cup team Sweden'], [6, 'FIFA World Cup team Brazil']], [[4, 'FIFA World Cup team Sweden'], [7, 'FIFA World Cup team Argentina']], [[6, 'FIFA World Cup team Brazil'], [7, 'FIFA World Cup team Argentina']]]	0	1
bool	P54	Does FIFA World Cup play for Argentina?	[]	[]	[[[2, 'FIFA World Cup team Belgium']], [[3, 'FIFA World Cup team Portugal']], [[3, 'FIFA World Cup team Portugal'], [2, 'FIFA World Cup team Belgium']]]	1	1
count	P54	How many people play for Italy?	[1]	None	[[]]	0	0
count	P118	How many participants are there in fall?	[]	None	[[]]	0	0
min/max	P54	Who has played for the least teams?	['FIFA World Cup']	[[1], [2], [7]]	[[[0, 'FIFA World Cup team Brazil']], [[1, 'FIFA World Cup team Sweden']], [[2, 'FIFA World Cup team Italy']], [[3, 'FIFA World Cup team Netherlands']], [[7, 'FIFA World Cup team South Korea']], [[0, 'FIFA World Cup team Brazil'], [1, 'FIFA World Cup team Sweden']], [[0, 'FIFA World Cup team Brazil'], [2, 'FIFA World Cup team Italy']], [[0, 'FIFA World Cup team Brazil'], [3, 'FIFA World Cup team Netherlands']], [[0, 'FIFA World Cup team Brazil'], [7, 'FIFA World Cup team South Korea']], [[1, 'FIFA World Cup team Sweden'], [2, 'FIFA World Cup team Italy']], [[1, 'FIFA World Cup team Sweden'], [3, 'FIFA World Cup team Netherlands']], [[1, 'FIFA World Cup team Sweden'], [7, 'FIFA World Cup team South Korea']], [[2, 'FIFA World Cup team Italy'], [3, 'FIFA World Cup team Netherlands']], [[2, 'FIFA World Cup team Italy'], [7, 'FIFA World Cup team South Korea']], [[3, 'FIFA World Cup team Netherlands'], [7, 'FIFA World Cup team South Korea']]]	1	1
min/max	P54	Which team has the lowest number of players?	['Sweden', 'Athletic Bilbao', 'Brazil', 'Argentina', 'Chile', 'Valencia']	None	[[]]	0	0
bool	P54	Is FIFA World Cup part of Valencia?	['FALSE']	[[0], [1], [4, 6]]	[[[0, 'FIFA World Cup team Turkey']], [[1, 'FIFA World Cup team Sweden']], [[3, 'FIFA World Cup team Brazil']], [[4, 'FIFA World Cup team Argentina']], [[5, 'FIFA World Cup team Chile']], [[6, 'FIFA World Cup team Argentina']], [[9, 'UEFA Euro 2016 team Turkey']]]	0	1
min/max	P54	Who has played for the fewest teams?	['FIFA World Cup']	[[3], [8], [9]]	[[[0, 'FIFA World Cup team Uruguay']], [[1, 'Atlanta Falcons team Carolina Panthers']], [[3, 'FIFA World Cup team Sweden']], [[5, 'FIFA World Cup team Belgium']], [[6, 'FIFA World Cup team Italy']], [[0, 'FIFA World Cup team Uruguay'], [3, 'FIFA World Cup team Sweden']], [[0, 'FIFA World Cup team Uruguay'], [5, 'FIFA World Cup team Belgium']], [[0, 'FIFA World Cup team Uruguay'], [6, 'FIFA World Cup team Italy']], [[1, 'Atlanta Falcons team Carolina Panthers'], [5, 'FIFA World Cup team Belgium']], [[1, 'Atlanta Falcons team Carolina Panthers'], [6, 'FIFA World Cup team Italy']], [[3, 'FIFA World Cup team Sweden'], [5, 'FIFA World Cup team Belgium']], [[3, 'FIFA World Cup team Sweden'], [6, 'FIFA World Cup team Italy']], [[5, 'FIFA World Cup team Belgium'], [6, 'FIFA World Cup team Italy']]]	0	1
set	P54	List teams Ýokary Liga plays for	['Nisa Aşgabat']	None	[]	0	0
set	P54	List teams FIFA World Cup plays for	['Sweden', 'Uruguay', 'Belgium']	[[0], [3], [5]]	[[[0, 'FIFA World Cup team Uruguay'], [3, 'FIFA World Cup team Sweden']], [[0, 'FIFA World Cup team Uruguay'], [5, 'FIFA World Cup team Belgium']], [[0, 'FIFA World Cup team Uruguay'], [6, 'FIFA World Cup team Italy']], [[3, 'FIFA World Cup team Sweden'], [5, 'FIFA World Cup team Belgium']], [[3, 'FIFA World Cup team Sweden'], [6, 'FIFA World Cup team Italy']], [[5, 'FIFA World Cup team Belgium'], [6, 'FIFA World Cup team Italy']]]	0	1
set	P118	Who plays in fall?	[]	None	[[]]	0	0
count	P54	How many people play for Athletic Bilbao?	[1]	None	[[]]	0	0
count	P54	How many people play for United States?	[]	None	[[]]	0	0
